Order Date,Region,Category,Sales,Profit
15-10-2012,Central,Technology,339.96,67.992
26-12-2014,East,Furniture,41.96,10.9096
4/11/2013,Central,Office Supplies,75.96,22.788
4/11/2013,Central,Office Supplies,27.24,13.3476
25-08-2011,East,Office Supplies,40.096,14.5348
25-08-2011,East,Office Supplies,4.72,1.652
25-08-2011,East,Office Supplies,23.976,7.4925
25-08-2011,East,Office Supplies,130.464,44.0316
2/3/2012,West,Furniture,787.53,165.3813
5/4/2012,South,Office Supplies,157.794,-115.7156
13-06-2013,East,Furniture,47.04,18.3456
13-06-2013,East,Office Supplies,30.84,13.878
13-06-2013,East,Office Supplies,226.56,63.4368
13-06-2013,East,Office Supplies,115.02,51.759
13-06-2013,East,Technology,68.04,19.7316
26-12-2011,Central,Furniture,600.558,-8.5794
20-09-2011,Central,Furniture,617.7,-407.682
6/11/2014,West,Office Supplies,2.388,-1.8308
6/11/2014,West,Office Supplies,243.992,30.499
7/11/2013,West,Furniture,81.424,-9.1602
7/11/2013,West,Furniture,238.56,26.2416
3/2/2014,East,Technology,59.97,-11.994
3/2/2014,East,Office Supplies,78.304,29.364
3/2/2014,East,Office Supplies,21.456,6.9732
14-10-2013,West,Office Supplies,20.04,9.6192
14-10-2013,West,Office Supplies,35.44,16.6568
14-10-2013,West,Office Supplies,11.52,3.456
14-10-2013,West,Office Supplies,4.02,1.9698
14-10-2013,West,Office Supplies,76.176,26.6616
14-10-2013,West,Office Supplies,65.88,18.4464
14-10-2013,West,Furniture,43.12,20.6976
6/9/2013,East,Furniture,82.8,10.35
19-09-2014,West,Office Supplies,8.82,2.3814
19-09-2014,West,Office Supplies,10.86,5.1042
19-09-2014,West,Office Supplies,143.7,68.976
23-12-2014,Central,Office Supplies,839.43,218.2518
7/9/2012,West,Office Supplies,671.93,20.1579
22-10-2011,East,Furniture,93.888,12.9096
6/12/2013,Central,Technology,384.45,103.8015
6/12/2013,Central,Technology,149.97,5.9988
6/12/2013,Central,Furniture,1951.84,585.552
6/12/2013,Central,Office Supplies,171.55,80.6285
14-03-2013,West,Office Supplies,157.92,17.766
14-03-2013,West,Technology,203.184,15.2388
31-05-2012,West,Office Supplies,58.38,26.271
31-05-2012,West,Office Supplies,105.52,48.5392
31-05-2012,West,Office Supplies,80.88,21.0288
28-05-2012,West,Office Supplies,6.63,1.7901
1/3/2011,West,Furniture,457.568,51.4764
21-11-2013,Central,Office Supplies,14.62,6.8714
21-11-2013,Central,Technology,944.93,236.2325
12/5/2013,West,Office Supplies,5.98,2.691
28-12-2012,East,Technology,54.384,1.3596
17-11-2013,West,Office Supplies,28.4,13.348
8/11/2013,West,Office Supplies,27.68,9.688
8/9/2011,Central,Office Supplies,9.936,2.7324
8/9/2011,Central,Technology,8159.952,-1359.992
8/9/2011,Central,Office Supplies,275.928,-58.6347
8/9/2011,Central,Furniture,1740.06,-24.858
8/9/2011,Central,Office Supplies,32.064,6.8136
8/9/2011,Central,Office Supplies,177.98,-453.849
8/9/2011,Central,Technology,143.976,8.9985
5/8/2011,West,Office Supplies,20.94,9.8418
5/8/2011,West,Office Supplies,110.96,53.2608
5/8/2011,West,Furniture,340.144,21.259
14-09-2011,Central,Office Supplies,52.448,-131.12
14-09-2011,Central,Office Supplies,20.16,6.552
22-04-2014,Central,Office Supplies,97.264,-243.16
21-11-2012,East,Furniture,396.802,-11.3372
21-11-2012,East,Office Supplies,15.88,-3.7715
15-12-2012,East,Office Supplies,3.28,1.4104
5/12/2011,Central,Office Supplies,24.816,1.8612
5/12/2011,Central,Technology,408.744,76.6395
19-11-2011,South,Technology,503.96,131.0296
19-11-2011,South,Technology,149.95,41.986
19-11-2011,South,Technology,29,7.25
29-11-2013,East,Office Supplies,7.16,3.4368
26-08-2011,West,Technology,176.8,22.984
17-07-2013,Central,Office Supplies,37.224,3.7224
17-07-2013,Central,Office Supplies,20.016,6.255
12/10/2012,East,Furniture,899.136,112.392
12/10/2012,East,Technology,71.76,20.0928
12/10/2012,East,Office Supplies,51.84,24.8832
12/10/2012,East,Furniture,626.352,46.9764
12/10/2012,East,Office Supplies,19.9,6.567
31-10-2012,West,Office Supplies,14.28,6.7116
21-03-2011,East,Office Supplies,7.408,1.2038
21-03-2011,East,Office Supplies,6.048,1.5876
7/11/2014,East,Office Supplies,46.26,12.0276
7/7/2014,East,Office Supplies,2.946,-2.2586
7/7/2014,East,Office Supplies,16.056,5.8203
25-06-2014,East,Office Supplies,21.744,6.795
3/8/2011,West,Furniture,218.75,-161.875
3/8/2011,West,Office Supplies,2.6,0.2925
18-12-2014,Central,Office Supplies,66.284,-178.9668
4/6/2014,South,Furniture,35.168,9.6712
10/12/2014,West,Technology,444.768,44.4768
2/12/2014,Central,Office Supplies,83.92,5.8744
2/12/2014,Central,Technology,131.98,35.6346
2/12/2014,Central,Office Supplies,15.92,7.4824
2/12/2014,Central,Office Supplies,52.29,16.2099
2/12/2014,Central,Office Supplies,91.99,3.6796
9/2/2012,Central,Technology,20.8,6.5
2/1/2012,East,Office Supplies,23.68,8.88
2/1/2012,East,Furniture,452.45,-244.323
2/1/2012,East,Technology,62.982,-14.6958
2/1/2012,East,Technology,1188,-950.4
2/1/2012,East,Technology,89.584,4.4792
29-10-2013,West,Office Supplies,93.06,26.0568
29-10-2013,West,Technology,302.376,22.6782
24-12-2012,East,Office Supplies,5.584,1.8148
24-12-2012,East,Office Supplies,22.704,8.2302
24-12-2012,East,Office Supplies,19.776,-13.8432
24-12-2012,East,Furniture,72.704,19.0848
24-12-2012,East,Technology,479.988,-383.9904
24-12-2012,East,Office Supplies,27.168,2.7168
9/8/2012,Central,Office Supplies,2.2,0.968
9/8/2012,Central,Furniture,622.45,136.939
9/8/2012,Central,Office Supplies,21.98,0.2198
28-02-2012,South,Furniture,161.568,-28.2744
28-02-2012,South,Furniture,389.696,43.8408
13-09-2011,South,Office Supplies,18.648,-12.432
8/4/2014,South,Furniture,233.86,-102.048
8/4/2014,South,Furniture,620.6145,-248.2458
8/4/2014,South,Office Supplies,5.328,-3.552
8/4/2014,South,Furniture,258.072,0
8/4/2014,South,Technology,617.976,-7.7247
13-11-2014,West,Office Supplies,10.56,4.752
5/6/2013,Central,Office Supplies,25.92,9.396
5/6/2013,Central,Furniture,419.68,-356.728
5/6/2013,Central,Furniture,11.688,-4.6752
5/6/2013,Central,Technology,31.984,11.1944
5/6/2013,Central,Furniture,177.225,-120.513
5/6/2013,Central,Furniture,4.044,-2.8308
5/6/2013,Central,Office Supplies,7.408,1.2038
1/6/2011,Central,Furniture,2001.86,580.5394
1/6/2011,Central,Office Supplies,166.72,41.68
1/6/2011,Central,Office Supplies,47.88,23.94
1/6/2011,Central,Office Supplies,1503.25,496.0725
1/6/2011,Central,Office Supplies,25.92,12.4416
11/12/2013,West,Furniture,321.568,28.1372
12/9/2013,West,Office Supplies,7.61,3.5767
12/9/2013,West,Technology,3347.37,636.0003
11/12/2013,East,Office Supplies,80.58,22.5624
11/12/2013,East,Office Supplies,361.92,162.864
28-11-2012,Central,Furniture,12.132,-8.4924
28-11-2012,Central,Office Supplies,82.368,-19.5624
28-11-2012,Central,Office Supplies,53.92,4.044
28-11-2012,Central,Technology,647.904,56.6916
2/12/2014,East,Technology,20.37,6.9258
2/12/2014,East,Office Supplies,221.55,6.6465
2/12/2014,East,Office Supplies,17.52,6.132
9/6/2014,Central,Office Supplies,1.624,-4.466
19-09-2011,Central,Technology,3059.982,-509.997
19-09-2011,Central,Technology,2519.958,-251.9958
7/6/2013,Central,Technology,328.224,28.7196
10/11/2012,West,Technology,79.9,35.156
17-06-2014,South,Office Supplies,14.016,4.7304
22-01-2013,East,Office Supplies,7.56,0.3024
10/12/2014,East,Office Supplies,37.208,-7.4416
10/12/2014,East,Office Supplies,57.576,21.591
29-12-2014,West,Office Supplies,725.84,210.4936
30-07-2012,West,Technology,209.93,92.3692
30-07-2012,West,Furniture,5.28,2.3232
30-07-2012,West,Office Supplies,10.92,4.095
17-09-2014,West,Office Supplies,8.82,4.0572
17-09-2014,West,Office Supplies,5.98,1.5548
14-10-2014,East,Office Supplies,11.648,4.0768
14-10-2014,East,Office Supplies,18.176,5.9072
14-10-2014,East,Office Supplies,59.712,5.9712
14-10-2014,East,Office Supplies,24.84,8.694
26-09-2012,Central,Office Supplies,2.08,-3.432
26-09-2012,Central,Technology,1114.4,376.11
2/11/2012,West,Furniture,1038.84,51.942
26-09-2012,West,Office Supplies,141.76,47.844
26-09-2012,West,Technology,239.8,47.96
26-09-2012,West,Office Supplies,31.104,10.8864
19-12-2013,South,Office Supplies,254.058,-169.372
19-12-2013,South,Office Supplies,194.528,24.316
19-12-2013,South,Office Supplies,961.48,-204.3145
21-11-2013,East,Office Supplies,19.096,6.6836
21-11-2013,East,Office Supplies,18.496,6.2424
21-11-2013,East,Technology,255.984,54.3966
21-11-2013,East,Furniture,86.97,-48.7032
26-12-2011,West,Furniture,300.416,78.8592
26-12-2011,West,Furniture,230.352,20.1558
26-12-2011,West,Furniture,218.352,-24.5646
26-12-2011,West,Office Supplies,78.6,-62.88
26-12-2011,West,Office Supplies,27.552,9.2988
29-10-2013,East,Office Supplies,32.4,15.552
29-10-2013,East,Office Supplies,1082.48,10.8248
29-10-2013,East,Office Supplies,56.91,27.3168
29-10-2013,East,Furniture,77.6,38.024
29-10-2013,East,Office Supplies,14.28,6.5688
20-11-2014,Central,Furniture,219.075,-131.445
4/5/2012,East,Furniture,26.8,12.864
30-12-2011,Central,Office Supplies,9.84,2.8536
1/6/2011,East,Office Supplies,45.48,20.9208
1/6/2011,East,Office Supplies,289.2,83.868
16-04-2014,South,Office Supplies,4.89,2.0049
13-09-2013,West,Furniture,15.136,3.5948
13-09-2013,West,Furniture,466.768,52.5114
13-09-2013,West,Furniture,15.232,1.7136
13-09-2013,West,Office Supplies,6.264,2.0358
27-09-2011,East,Furniture,87.54,37.6422
9/8/2011,South,Technology,178.384,22.298
9/8/2011,South,Office Supplies,15.552,5.4432
28-12-2011,East,Office Supplies,99.136,8.6744
4/11/2011,East,Furniture,135.882,24.1568
4/11/2011,East,Technology,3991.98,1995.99
4/11/2011,East,Technology,275.94,80.0226
4/11/2011,East,Technology,360,129.6
4/11/2011,East,Office Supplies,43.57,13.071
19-09-2011,West,Office Supplies,7.16,3.58
24-04-2013,West,Office Supplies,251.52,81.744
24-04-2013,West,Technology,99.99,34.9965
4/11/2014,South,Furniture,15.992,0.9995
31-08-2013,East,Technology,290.898,-67.8762
31-08-2013,East,Office Supplies,54.224,3.389
31-08-2013,East,Furniture,786.744,-258.5016
31-08-2013,East,Office Supplies,100.24,33.831
31-08-2013,East,Office Supplies,37.764,-27.6936
26-04-2013,East,Technology,82.8,-20.7
26-04-2013,East,Office Supplies,20.724,-13.816
26-04-2013,East,Office Supplies,4.896,-3.4272
1/9/2012,West,Office Supplies,4.752,1.6038
1/9/2012,West,Technology,959.984,335.9944
1/9/2012,West,Office Supplies,14.368,4.49
12/7/2011,West,Office Supplies,7.712,2.7956
12/7/2011,West,Furniture,698.352,-17.4588
22-06-2012,West,Office Supplies,4.96,2.3312
13-04-2011,East,Office Supplies,17.856,1.116
13-04-2011,East,Office Supplies,509.97,-407.976
13-04-2011,East,Office Supplies,30.992,10.0724
13-04-2011,East,Technology,71.928,8.3916
20-12-2012,Central,Office Supplies,88.8,-2.22
16-06-2014,West,Technology,47.976,4.7976
9/7/2014,East,Office Supplies,7.56,3.0996
9/7/2014,East,Office Supplies,24.56,11.5432
9/7/2014,East,Office Supplies,12.96,4.1472
2/9/2013,East,Technology,6.79,2.3086
2/9/2013,East,Office Supplies,24.56,11.5432
2/9/2013,East,Office Supplies,3.048,1.0668
2/9/2013,East,Office Supplies,49.12,23.0864
2/9/2013,East,Office Supplies,4355.168,1415.4296
9/4/2013,East,Furniture,388.704,-4.8588
9/4/2013,East,Office Supplies,8.26,3.7996
9/4/2013,East,Office Supplies,17.04,6.9864
9/4/2013,East,Office Supplies,34.4,15.824
24-04-2013,South,Office Supplies,36.24,11.325
9/3/2014,South,Office Supplies,647.84,168.4384
9/3/2014,South,Office Supplies,20.7,9.936
26-09-2014,East,Office Supplies,20.7,9.936
26-09-2014,East,Furniture,488.646,86.8704
26-09-2014,East,Office Supplies,5.56,1.4456
26-09-2014,East,Furniture,47.12,20.7328
24-09-2011,West,Office Supplies,211.96,8.4784
22-10-2013,East,Office Supplies,23.2,10.44
22-10-2013,East,Office Supplies,7.36,0.1472
22-10-2013,East,Office Supplies,104.79,29.3412
22-10-2013,East,Furniture,1043.92,271.4192
30-05-2014,Central,Office Supplies,25.92,9.396
30-05-2014,Central,Office Supplies,53.424,4.6746
23-07-2011,West,Office Supplies,8.16,-5.712
23-07-2011,West,Technology,1023.936,179.1888
23-07-2011,West,Office Supplies,9.24,0.924
23-07-2011,West,Technology,479.04,-29.94
29-09-2013,Central,Office Supplies,99.136,30.98
28-08-2014,East,Furniture,1488.424,-297.6848
28-04-2012,Central,Office Supplies,8.652,-20.3322
28-04-2012,Central,Office Supplies,23.832,2.6811
28-04-2012,Central,Office Supplies,12.176,-18.8728
29-10-2013,West,Office Supplies,50.96,25.48
29-10-2013,West,Office Supplies,49.536,17.3376
26-06-2012,Central,Technology,41.9,8.799
27-11-2012,South,Furniture,375.4575,-157.0095
27-11-2012,South,Technology,83.976,-1.0497
3/12/2012,East,Technology,482.34,-337.638
3/12/2012,East,Furniture,2.96,0.777
24-11-2011,East,Office Supplies,2.624,0.4264
12/12/2014,East,Office Supplies,23.36,7.884
12/12/2014,East,Technology,39.98,13.5932
21-09-2011,West,Technology,246.384,27.7182
21-09-2011,West,Technology,1799.97,701.9883
7/6/2011,Central,Office Supplies,12.462,-20.5623
1/7/2014,West,Office Supplies,75.792,25.5798
18-10-2014,East,Office Supplies,49.96,9.4924
18-10-2014,East,Office Supplies,12.96,6.2208
31-10-2012,Central,Office Supplies,70.12,21.036
9/9/2013,Central,Office Supplies,35.952,3.5952
9/9/2013,Central,Furniture,2396.2656,-317.1528
9/9/2013,Central,Office Supplies,131.136,-32.784
9/9/2013,Central,Technology,57.584,0.7198
24-12-2011,South,Office Supplies,9.568,3.4684
16-04-2011,South,Office Supplies,39.072,9.768
25-12-2014,East,Office Supplies,35.91,9.6957
9/12/2014,West,Technology,179.95,37.7895
9/12/2014,West,Technology,1199.976,434.9913
9/12/2014,West,Office Supplies,27.15,13.3035
9/12/2014,West,Furniture,1004.024,-112.9527
9/12/2014,West,Office Supplies,9.68,4.6464
9/12/2014,West,Office Supplies,28.35,13.608
9/12/2014,West,Office Supplies,55.98,27.4302
9/12/2014,West,Furniture,1336.829,31.4548
9/12/2014,West,Furniture,113.568,-18.4548
4/11/2014,West,Office Supplies,139.86,65.7342
4/11/2014,West,Furniture,307.136,26.8744
25-06-2014,West,Office Supplies,95.92,25.8984
15-04-2013,West,Furniture,383.8,38.38
7/11/2014,South,Office Supplies,5.78,2.8322
5/3/2014,West,Office Supplies,9.32,2.7028
5/3/2014,West,Office Supplies,15.25,7.015
22-06-2011,West,Technology,196.752,56.5662
20-10-2014,East,Furniture,56.56,14.7056
20-10-2014,East,Office Supplies,32.7,8.502
22-08-2014,South,Furniture,866.4,225.264
24-11-2014,Central,Furniture,28.4,11.076
24-11-2014,Central,Office Supplies,287.92,138.2016
12/9/2011,East,Technology,69.99,30.0957
2/10/2014,Central,Office Supplies,6.672,0.5004
16-04-2013,South,Office Supplies,189.588,-145.3508
16-04-2013,South,Technology,408.744,76.6395
16-04-2013,South,Technology,291.96,54.7425
16-04-2013,South,Office Supplies,4.768,-0.7748
7/6/2013,East,Office Supplies,714.3,207.147
19-12-2011,South,Office Supplies,4.812,-3.6892
19-12-2011,South,Technology,247.8,-18.585
13-06-2013,Central,Technology,1007.979,43.1991
13-06-2013,Central,Office Supplies,313.488,113.6394
16-09-2014,Central,Office Supplies,31.872,11.5536
21-01-2014,East,Furniture,207.846,2.3094
6/9/2013,Central,Furniture,12.22,3.666
6/9/2013,Central,Office Supplies,194.94,23.3928
6/9/2013,Central,Office Supplies,70.95,20.5755
6/9/2013,Central,Office Supplies,91.36,42.0256
6/9/2013,Central,Furniture,242.94,29.1528
6/9/2013,Central,Office Supplies,22.05,10.584
21-03-2014,Central,Furniture,2.91,1.3677
2/4/2013,East,Office Supplies,59.52,15.4752
2/4/2013,East,Office Supplies,161.94,9.7164
2/4/2013,East,Office Supplies,263.88,71.2476
2/4/2013,East,Office Supplies,30.48,7.9248
2/4/2013,East,Office Supplies,9.84,2.8536
2/4/2013,East,Technology,35.12,9.1312
21-10-2014,East,Furniture,284.364,-75.8304
21-10-2014,East,Office Supplies,665.408,66.5408
14-12-2013,Central,Technology,63.88,24.9132
13-02-2011,West,Furniture,129.568,-24.294
27-09-2013,Central,Furniture,747.558,-96.1146
27-09-2013,Central,Office Supplies,8.928,3.348
15-12-2012,West,Office Supplies,103.92,36.372
15-12-2012,West,Technology,899.91,377.9622
15-12-2012,West,Office Supplies,51.312,18.6006
23-04-2013,West,Furniture,23.56,7.068
23-04-2013,West,Furniture,1272.63,-814.4832
23-04-2013,West,Office Supplies,28.485,-20.889
23-04-2013,West,Office Supplies,185.376,-34.758
23-04-2013,West,Office Supplies,78.272,5.8704
17-01-2012,Central,Furniture,254.744,-312.0614
1/4/2014,Central,Furniture,205.3328,-36.2352
17-12-2013,Central,Office Supplies,4.788,-7.9002
20-12-2012,East,Office Supplies,55.48,26.6304
9/11/2011,West,Office Supplies,340.92,3.4092
9/11/2011,West,Furniture,222.666,10.4784
9/11/2011,West,Technology,703.968,87.996
9/11/2011,West,Office Supplies,92.52,24.9804
9/11/2011,West,Office Supplies,62.65,28.819
9/11/2011,West,Office Supplies,94.85,45.528
13-07-2013,West,Technology,95.76,7.182
28-10-2013,East,Furniture,40.2,19.296
27-06-2013,East,Office Supplies,14.7,6.615
27-06-2013,East,Office Supplies,704.25,84.51
6/10/2011,West,Technology,9.09,1.9089
22-07-2011,East,Office Supplies,5.96,1.6688
22-07-2011,East,Technology,159.98,57.5928
11/6/2014,West,Office Supplies,29.6,14.8
11/6/2014,West,Furniture,514.165,-30.245
11/6/2014,West,Technology,279.96,17.4975
29-10-2011,Central,Technology,2735.952,341.994
9/6/2011,Central,Technology,7.992,0.5994
9/6/2011,Central,Technology,63.984,10.3974
9/6/2011,Central,Office Supplies,70.368,6.1572
14-09-2011,East,Office Supplies,449.15,8.983
14-09-2011,East,Office Supplies,11.07,5.0922
10/5/2013,West,Technology,93.98,13.1572
19-03-2013,South,Furniture,189.882,-94.941
27-12-2012,South,Office Supplies,105.42,51.6558
26-07-2013,West,Office Supplies,119.616,40.3704
26-07-2013,West,Furniture,255.76,81.8432
26-07-2013,West,Furniture,241.568,18.1176
26-07-2013,West,Furniture,69.3,22.869
31-05-2013,West,Office Supplies,22.62,-15.08
31-05-2013,West,Office Supplies,14.952,-11.9616
31-05-2013,West,Furniture,801.568,50.098
31-05-2013,West,Office Supplies,2.376,-1.9008
31-05-2013,West,Office Supplies,32.792,11.8871
13-11-2014,East,Office Supplies,15.92,5.373
16-03-2012,South,Office Supplies,2.74,0.7398
16-03-2012,South,Office Supplies,8.34,2.1684
16-03-2012,South,Office Supplies,46.74,11.685
16-03-2012,South,Office Supplies,6354.95,3177.475
27-11-2014,Central,Furniture,126.3,40.416
27-11-2014,Central,Technology,38.04,12.1728
21-10-2013,East,Office Supplies,7.152,0.7152
22-12-2014,West,Office Supplies,6.63,1.7901
22-12-2014,West,Office Supplies,5.88,1.7052
23-01-2014,West,Technology,2999.95,1379.977
23-01-2014,West,Office Supplies,51.45,13.8915
23-01-2014,West,Office Supplies,11.96,5.382
23-01-2014,West,Office Supplies,1126.02,56.301
22-03-2012,Central,Technology,18.392,5.2877
22-03-2012,Central,Office Supplies,129.568,-25.9136
22-03-2012,Central,Office Supplies,14.112,-21.168
24-01-2014,Central,Furniture,210.98,21.098
22-05-2013,West,Technology,55.176,-12.4146
22-05-2013,West,Technology,66.26,27.1666
26-12-2012,East,Office Supplies,22.2,10.434
22-10-2014,South,Furniture,683.952,42.747
22-10-2014,South,Furniture,45.696,5.1408
3/9/2012,East,Office Supplies,36.336,-7.2672
3/9/2012,East,Office Supplies,666.248,-149.9058
3/9/2012,East,Office Supplies,52.512,19.692
7/11/2012,West,Furniture,190.72,11.92
8/9/2014,West,Furniture,47.94,2.397
30-05-2013,South,Technology,979.95,274.386
30-05-2013,South,Office Supplies,22.75,11.375
11/7/2013,West,Office Supplies,16.768,1.4672
4/9/2014,Central,Office Supplies,42.616,-68.1856
3/12/2012,East,Office Supplies,10.752,3.36
7/12/2012,South,Office Supplies,152.94,41.2938
7/12/2012,South,Furniture,283.92,70.98
2/2/2011,Central,Technology,468.9,206.316
15-07-2013,West,Technology,380.864,38.0864
18-12-2012,East,Office Supplies,646.776,-145.5246
11/5/2011,Central,Technology,58.112,7.264
11/5/2011,Central,Technology,100.792,6.2995
11/5/2011,Central,Furniture,66.112,-84.2928
20-11-2014,East,Office Supplies,41.28,13.932
20-11-2014,East,Office Supplies,13.36,6.4128
15-11-2012,Central,Office Supplies,250.272,15.642
15-11-2012,Central,Office Supplies,11.364,-17.046
15-11-2012,Central,Office Supplies,8.72,-1.744
16-04-2013,West,Furniture,1121.568,0
12/9/2014,South,Furniture,34.504,6.0382
25-11-2014,Central,Office Supplies,10.824,2.5707
30-06-2014,West,Office Supplies,1295.78,310.9872
3/3/2011,South,Office Supplies,19.456,3.4048
11/6/2013,West,Office Supplies,20.7,9.936
11/6/2013,West,Furniture,1335.68,-217.048
11/6/2013,West,Office Supplies,32.4,15.552
21-11-2014,West,Furniture,42.6,16.614
21-11-2014,West,Office Supplies,84.056,27.3182
14-09-2011,South,Office Supplies,13,1.3
14-09-2011,South,Furniture,13.128,3.7743
7/12/2012,West,Office Supplies,3.96,0
7/12/2012,West,Office Supplies,2.61,1.2006
8/12/2014,West,Technology,374.376,46.797
2/10/2014,West,Office Supplies,91.84,45.0016
2/10/2014,West,Office Supplies,81.088,27.3672
2/10/2014,West,Office Supplies,19.44,9.3312
2/10/2014,West,Furniture,451.152,0
29-12-2014,East,Office Supplies,72.45,34.776
29-12-2014,East,Office Supplies,13.96,6.4216
29-12-2014,East,Office Supplies,33.264,11.2266
29-12-2014,East,Technology,14.85,4.0095
4/11/2013,West,Office Supplies,8.82,2.3814
18-09-2012,West,Office Supplies,160.72,78.7528
18-09-2012,West,Office Supplies,19.92,9.7608
