Order Date,Region,Category,Sales,Profit,Month-Year
12/5/2011,Central,Office Supplies,24.816,1.8612,2011-12
12/5/2011,Central,Technology,408.744,76.6395,2011-12
10/12/2012,East,Furniture,899.136,112.392,2012-10
10/12/2012,East,Technology,71.76,20.0928,2012-10
10/12/2012,East,Office Supplies,51.84,24.8832,2012-10
10/12/2012,East,Furniture,626.352,46.9764,2012-10
10/12/2012,East,Office Supplies,19.9,6.567,2012-10
11/7/2014,East,Office Supplies,46.26,12.0276,2014-11
7/7/2014,East,Office Supplies,2.946,-2.2586,2014-07
7/7/2014,East,Office Supplies,16.056,5.8203,2014-07
8/3/2011,West,Furniture,218.75,-161.875,2011-08
8/3/2011,West,Office Supplies,2.6,0.2925,2011-08
6/4/2014,South,Furniture,35.168,9.6712,2014-06
12/10/2014,West,Technology,444.768,44.4768,2014-12
12/2/2014,Central,Office Supplies,83.92,5.8744,2014-12
12/2/2014,Central,Technology,131.98,35.6346,2014-12
12/2/2014,Central,Office Supplies,15.92,7.4824,2014-12
12/2/2014,Central,Office Supplies,52.29,16.2099,2014-12
12/2/2014,Central,Office Supplies,91.99,3.6796,2014-12
2/9/2012,Central,Technology,20.8,6.5,2012-02
1/2/2012,East,Office Supplies,23.68,8.88,2012-01
1/2/2012,East,Furniture,452.45,-244.323,2012-01
1/2/2012,East,Technology,62.982,-14.6958,2012-01
1/2/2012,East,Technology,1188,-950.4,2012-01
1/2/2012,East,Technology,89.584,4.4792,2012-01
8/9/2012,Central,Office Supplies,2.2,0.968,2012-08
8/9/2012,Central,Furniture,622.45,136.939,2012-08
8/9/2012,Central,Office Supplies,21.98,0.2198,2012-08
4/8/2014,South,Furniture,233.86,-102.048,2014-04
4/8/2014,South,Furniture,620.6145,-248.2458,2014-04
4/8/2014,South,Office Supplies,5.328,-3.552,2014-04
4/8/2014,South,Furniture,258.072,0,2014-04
4/8/2014,South,Technology,617.976,-7.7247,2014-04
6/5/2013,Central,Office Supplies,25.92,9.396,2013-06
6/5/2013,Central,Furniture,419.68,-356.728,2013-06
6/5/2013,Central,Furniture,11.688,-4.6752,2013-06
6/5/2013,Central,Technology,31.984,11.1944,2013-06
6/5/2013,Central,Furniture,177.225,-120.513,2013-06
6/5/2013,Central,Furniture,4.044,-2.8308,2013-06
6/5/2013,Central,Office Supplies,7.408,1.2038,2013-06
6/1/2011,Central,Furniture,2001.86,580.5394,2011-06
6/1/2011,Central,Office Supplies,166.72,41.68,2011-06
6/1/2011,Central,Office Supplies,47.88,23.94,2011-06
6/1/2011,Central,Office Supplies,1503.25,496.0725,2011-06
6/1/2011,Central,Office Supplies,25.92,12.4416,2011-06
12/11/2013,West,Furniture,321.568,28.1372,2013-12
9/12/2013,West,Office Supplies,7.61,3.5767,2013-09
9/12/2013,West,Technology,3347.37,636.0003,2013-09
12/11/2013,East,Office Supplies,80.58,22.5624,2013-12
12/11/2013,East,Office Supplies,361.92,162.864,2013-12
12/2/2014,East,Technology,20.37,6.9258,2014-12
12/2/2014,East,Office Supplies,221.55,6.6465,2014-12
12/2/2014,East,Office Supplies,17.52,6.132,2014-12
6/9/2014,Central,Office Supplies,1.624,-4.466,2014-06
6/7/2013,Central,Technology,328.224,28.7196,2013-06
11/10/2012,West,Technology,79.9,35.156,2012-11
12/10/2014,East,Office Supplies,37.208,-7.4416,2014-12
12/10/2014,East,Office Supplies,57.576,21.591,2014-12
11/2/2012,West,Furniture,1038.84,51.942,2012-11
5/4/2012,East,Furniture,26.8,12.864,2012-05
6/1/2011,East,Office Supplies,45.48,20.9208,2011-06
6/1/2011,East,Office Supplies,289.2,83.868,2011-06
8/9/2011,South,Technology,178.384,22.298,2011-08
8/9/2011,South,Office Supplies,15.552,5.4432,2011-08
11/4/2011,East,Furniture,135.882,24.1568,2011-11
11/4/2011,East,Technology,3991.98,1995.99,2011-11
11/4/2011,East,Technology,275.94,80.0226,2011-11
11/4/2011,East,Technology,360,129.6,2011-11
11/4/2011,East,Office Supplies,43.57,13.071,2011-11
11/4/2014,South,Furniture,15.992,0.9995,2014-11
9/1/2012,West,Office Supplies,4.752,1.6038,2012-09
9/1/2012,West,Technology,959.984,335.9944,2012-09
9/1/2012,West,Office Supplies,14.368,4.49,2012-09
7/12/2011,West,Office Supplies,7.712,2.7956,2011-07
7/12/2011,West,Furniture,698.352,-17.4588,2011-07
7/9/2014,East,Office Supplies,7.56,3.0996,2014-07
7/9/2014,East,Office Supplies,24.56,11.5432,2014-07
7/9/2014,East,Office Supplies,12.96,4.1472,2014-07
9/2/2013,East,Technology,6.79,2.3086,2013-09
9/2/2013,East,Office Supplies,24.56,11.5432,2013-09
9/2/2013,East,Office Supplies,3.048,1.0668,2013-09
9/2/2013,East,Office Supplies,49.12,23.0864,2013-09
9/2/2013,East,Office Supplies,4355.168,1415.4296,2013-09
4/9/2013,East,Furniture,388.704,-4.8588,2013-04
4/9/2013,East,Office Supplies,8.26,3.7996,2013-04
4/9/2013,East,Office Supplies,17.04,6.9864,2013-04
4/9/2013,East,Office Supplies,34.4,15.824,2013-04
3/9/2014,South,Office Supplies,647.84,168.4384,2014-03
3/9/2014,South,Office Supplies,20.7,9.936,2014-03
12/3/2012,East,Technology,482.34,-337.638,2012-12
12/3/2012,East,Furniture,2.96,0.777,2012-12
12/12/2014,East,Office Supplies,23.36,7.884,2014-12
12/12/2014,East,Technology,39.98,13.5932,2014-12
6/7/2011,Central,Office Supplies,12.462,-20.5623,2011-06
7/1/2014,West,Office Supplies,75.792,25.5798,2014-07
9/9/2013,Central,Office Supplies,35.952,3.5952,2013-09
9/9/2013,Central,Furniture,2396.2656,-317.1528,2013-09
9/9/2013,Central,Office Supplies,131.136,-32.784,2013-09
9/9/2013,Central,Technology,57.584,0.7198,2013-09
12/9/2014,West,Technology,179.95,37.7895,2014-12
12/9/2014,West,Technology,1199.976,434.9913,2014-12
12/9/2014,West,Office Supplies,27.15,13.3035,2014-12
12/9/2014,West,Furniture,1004.024,-112.9527,2014-12
12/9/2014,West,Office Supplies,9.68,4.6464,2014-12
12/9/2014,West,Office Supplies,28.35,13.608,2014-12
12/9/2014,West,Office Supplies,55.98,27.4302,2014-12
12/9/2014,West,Furniture,1336.829,31.4548,2014-12
12/9/2014,West,Furniture,113.568,-18.4548,2014-12
11/4/2014,West,Office Supplies,139.86,65.7342,2014-11
11/4/2014,West,Furniture,307.136,26.8744,2014-11
11/7/2014,South,Office Supplies,5.78,2.8322,2014-11
3/5/2014,West,Office Supplies,9.32,2.7028,2014-03
3/5/2014,West,Office Supplies,15.25,7.015,2014-03
9/12/2011,East,Technology,69.99,30.0957,2011-09
10/2/2014,Central,Office Supplies,6.672,0.5004,2014-10
6/7/2013,East,Office Supplies,714.3,207.147,2013-06
9/6/2013,Central,Furniture,12.22,3.666,2013-09
9/6/2013,Central,Office Supplies,194.94,23.3928,2013-09
9/6/2013,Central,Office Supplies,70.95,20.5755,2013-09
9/6/2013,Central,Office Supplies,91.36,42.0256,2013-09
9/6/2013,Central,Furniture,242.94,29.1528,2013-09
9/6/2013,Central,Office Supplies,22.05,10.584,2013-09
4/2/2013,East,Office Supplies,59.52,15.4752,2013-04
4/2/2013,East,Office Supplies,161.94,9.7164,2013-04
4/2/2013,East,Office Supplies,263.88,71.2476,2013-04
4/2/2013,East,Office Supplies,30.48,7.9248,2013-04
4/2/2013,East,Office Supplies,9.84,2.8536,2013-04
4/2/2013,East,Technology,35.12,9.1312,2013-04
4/1/2014,Central,Furniture,205.3328,-36.2352,2014-04
11/9/2011,West,Office Supplies,340.92,3.4092,2011-11
11/9/2011,West,Furniture,222.666,10.4784,2011-11
11/9/2011,West,Technology,703.968,87.996,2011-11
11/9/2011,West,Office Supplies,92.52,24.9804,2011-11
11/9/2011,West,Office Supplies,62.65,28.819,2011-11
11/9/2011,West,Office Supplies,94.85,45.528,2011-11
10/6/2011,West,Technology,9.09,1.9089,2011-10
6/11/2014,West,Office Supplies,29.6,14.8,2014-06
6/11/2014,West,Furniture,514.165,-30.245,2014-06
6/11/2014,West,Technology,279.96,17.4975,2014-06
6/9/2011,Central,Technology,7.992,0.5994,2011-06
6/9/2011,Central,Technology,63.984,10.3974,2011-06
6/9/2011,Central,Office Supplies,70.368,6.1572,2011-06
5/10/2013,West,Technology,93.98,13.1572,2013-05
9/3/2012,East,Office Supplies,36.336,-7.2672,2012-09
9/3/2012,East,Office Supplies,666.248,-149.9058,2012-09
9/3/2012,East,Office Supplies,52.512,19.692,2012-09
11/7/2012,West,Furniture,190.72,11.92,2012-11
9/8/2014,West,Furniture,47.94,2.397,2014-09
7/11/2013,West,Office Supplies,16.768,1.4672,2013-07
9/4/2014,Central,Office Supplies,42.616,-68.1856,2014-09
12/3/2012,East,Office Supplies,10.752,3.36,2012-12
12/7/2012,South,Office Supplies,152.94,41.2938,2012-12
12/7/2012,South,Furniture,283.92,70.98,2012-12
2/2/2011,Central,Technology,468.9,206.316,2011-02
5/11/2011,Central,Technology,58.112,7.264,2011-05
5/11/2011,Central,Technology,100.792,6.2995,2011-05
5/11/2011,Central,Furniture,66.112,-84.2928,2011-05
9/12/2014,South,Furniture,34.504,6.0382,2014-09
3/3/2011,South,Office Supplies,19.456,3.4048,2011-03
6/11/2013,West,Office Supplies,20.7,9.936,2013-06
6/11/2013,West,Furniture,1335.68,-217.048,2013-06
6/11/2013,West,Office Supplies,32.4,15.552,2013-06
12/7/2012,West,Office Supplies,3.96,0,2012-12
12/7/2012,West,Office Supplies,2.61,1.2006,2012-12
12/8/2014,West,Technology,374.376,46.797,2014-12
10/2/2014,West,Office Supplies,91.84,45.0016,2014-10
10/2/2014,West,Office Supplies,81.088,27.3672,2014-10
10/2/2014,West,Office Supplies,19.44,9.3312,2014-10
10/2/2014,West,Furniture,451.152,0,2014-10
11/4/2013,West,Office Supplies,8.82,2.3814,2013-11
9/10/2012,West,Office Supplies,51.52,1.5456,2012-09
12/2/2014,West,Technology,470.376,52.9173,2014-12
12/2/2014,West,Technology,105.584,9.2386,2014-12
12/2/2014,West,Office Supplies,31.152,3.5046,2014-12
12/2/2014,West,Office Supplies,6.783,-4.7481,2014-12
12/2/2014,West,Technology,406.368,30.4776,2014-12
7/3/2012,South,Furniture,70.98,4.9686,2012-07
7/3/2012,South,Office Supplies,294.93,144.5157,2012-07
1/10/2011,Central,Office Supplies,9.344,1.168,2011-01
1/10/2011,Central,Technology,31.2,9.75,2011-01
8/8/2011,West,Office Supplies,76.12,22.0748,2011-08
8/8/2011,West,Technology,1199.976,434.9913,2011-08
8/8/2011,West,Technology,445.96,55.745,2011-08
8/8/2011,West,Furniture,327.76,91.7728,2011-08
9/12/2013,East,Office Supplies,8.448,2.64,2013-09
9/12/2013,East,Technology,728.946,-157.9383,2013-09
12/12/2013,West,Office Supplies,243.384,-51.7191,2013-12
12/12/2013,West,Technology,119.8,29.95,2013-12
12/12/2013,West,Technology,300.768,30.0768,2013-12
10/4/2012,South,Furniture,392.94,43.2234,2012-10
6/11/2014,Central,Technology,132.52,54.3332,2014-06
4/2/2013,West,Office Supplies,31.56,9.8625,2013-04
4/2/2013,West,Office Supplies,30.144,3.0144,2013-04
12/12/2013,West,Furniture,14.8,6.068,2013-12
12/12/2013,West,Technology,302.376,22.6782,2013-12
12/12/2013,West,Technology,316,31.6,2013-12
11/5/2013,South,Office Supplies,10.74,5.2626,2013-11
6/9/2014,Central,Office Supplies,23.76,2.079,2014-06
6/9/2014,Central,Office Supplies,85.056,28.7064,2014-06
6/9/2014,Central,Technology,381.576,28.6182,2014-06
6/10/2014,Central,Furniture,23.976,-14.3856,2014-06
6/10/2014,Central,Furniture,108.925,-71.8905,2014-06
6/10/2014,Central,Office Supplies,36.352,11.36,2014-06
12/6/2014,Central,Office Supplies,61.44,16.5888,2014-12
12/6/2014,Central,Office Supplies,38.9,17.505,2014-12
12/6/2014,Central,Technology,99.39,40.7499,2014-12
11/5/2014,South,Technology,7999.98,-3839.9904,2014-11
11/5/2014,South,Office Supplies,167.44,14.651,2014-11
7/5/2011,South,Technology,479.97,163.1898,2011-07
7/5/2011,South,Office Supplies,14.62,6.8714,2011-07
7/5/2011,South,Office Supplies,19.44,9.3312,2011-07
9/3/2014,East,Furniture,15.072,4.1448,2014-09
11/5/2013,West,Furniture,209.88,35.6796,2013-11
4/9/2012,West,Furniture,369.912,-13.8717,2012-04
9/12/2011,South,Office Supplies,10.368,3.6288,2011-09
9/12/2011,South,Office Supplies,166.84,18.7695,2011-09
9/12/2011,South,Technology,15.216,2.2824,2011-09
12/2/2011,East,Technology,119.96,52.7824,2011-12
12/2/2011,East,Furniture,883.92,-110.49,2011-12
12/2/2011,East,Office Supplies,46.72,15.768,2011-12
4/5/2011,East,Office Supplies,55.48,26.6304,2011-04
9/4/2014,South,Office Supplies,24.448,8.8624,2014-09
7/1/2011,West,Office Supplies,19.92,6.972,2011-07
1/12/2011,East,Furniture,9.94,3.0814,2011-01
6/2/2011,West,Office Supplies,59.808,19.4376,2011-06
6/2/2011,West,Furniture,73.32,21.996,2011-06
10/7/2011,East,Furniture,129.92,21.112,2011-10
7/8/2013,South,Office Supplies,45.584,5.1282,2013-07
12/4/2013,East,Office Supplies,182.72,84.0512,2013-12
12/4/2013,East,Furniture,400.032,-153.3456,2013-12
12/4/2013,East,Office Supplies,33.63,10.089,2013-12
12/4/2013,East,Furniture,542.646,102.4998,2013-12
12/4/2013,East,Office Supplies,6.3,3.024,2013-12
9/8/2011,West,Technology,49.98,8.4966,2011-09
1/5/2011,Central,Office Supplies,11.784,4.2717,2011-01
1/5/2011,Central,Office Supplies,272.736,-64.7748,2011-01
1/5/2011,Central,Office Supplies,3.54,-5.487,2011-01
10/3/2014,Central,Office Supplies,58.05,26.703,2014-10
10/3/2014,Central,Furniture,157.74,56.7864,2014-10
10/3/2014,Central,Office Supplies,56.98,22.792,2014-10
10/3/2014,Central,Office Supplies,2.88,1.4112,2014-10
4/8/2013,West,Technology,1199.976,374.9925,2013-04
12/7/2012,West,Furniture,79.92,28.7712,2012-12
11/4/2014,South,Office Supplies,12.39,5.6994,2014-11
2/8/2012,East,Technology,107.982,-26.9955,2012-02
10/3/2012,East,Office Supplies,32.07,-22.449,2012-10
10/3/2012,East,Technology,24,-2.7,2012-10
10/3/2012,East,Furniture,35.49,-15.6156,2012-10
10/3/2012,East,Technology,47.984,0.5998,2012-10
12/12/2012,West,Furniture,348.928,34.8928,2012-12
11/1/2011,West,Office Supplies,43.176,4.3176,2011-11
11/1/2011,West,Technology,1983.968,247.996,2011-11
2/3/2012,Central,Furniture,28.4,11.076,2012-02
2/3/2012,Central,Technology,149.97,50.9898,2012-02
5/9/2011,West,Technology,67.8,4.068,2011-05
5/9/2011,West,Technology,167.97,40.3128,2011-05
9/8/2011,Central,Office Supplies,51.184,-79.3352,2011-09
11/5/2014,South,Office Supplies,9.664,3.2616,2014-11
3/8/2013,Central,Technology,21.072,1.5804,2013-03
11/8/2013,West,Office Supplies,37.44,11.7,2013-11
11/8/2013,West,Office Supplies,26.976,8.7672,2013-11
11/8/2013,West,Office Supplies,11.36,3.2944,2013-11
11/8/2013,West,Office Supplies,14.62,6.8714,2013-11
1/2/2014,East,Furniture,48.896,8.5568,2014-01
2/8/2011,East,Technology,115.36,49.6048,2011-02
8/3/2011,East,Office Supplies,39.96,18.7812,2011-08
8/3/2011,East,Office Supplies,102.3,26.598,2011-08
8/3/2011,East,Office Supplies,21.36,5.7672,2011-08
4/11/2014,East,Office Supplies,7.61,3.5767,2014-04
4/11/2014,East,Office Supplies,7.16,3.58,2014-04
6/9/2011,West,Office Supplies,7.36,0.1472,2011-06
6/9/2011,West,Office Supplies,23.1,10.626,2011-06
1/5/2013,South,Technology,191.472,40.6878,2013-01
1/5/2013,South,Office Supplies,5.248,0.5904,2013-01
1/5/2013,South,Technology,59.184,5.1786,2013-01
1/11/2011,South,Office Supplies,2.89,1.3583,2011-01
1/11/2011,South,Furniture,51.94,21.2954,2011-01
4/6/2011,East,Office Supplies,44.91,-35.928,2011-04
9/4/2013,East,Office Supplies,1141.47,-760.98,2013-09
9/4/2013,East,Technology,280.782,-46.797,2013-09
12/10/2011,East,Office Supplies,11.36,5.2256,2011-12
12/10/2011,East,Office Supplies,106.344,37.2204,2011-12
12/1/2014,East,Office Supplies,68.472,23.1093,2014-12
12/1/2014,East,Furniture,1242.9,262.39,2014-12
10/9/2012,South,Office Supplies,30.84,8.3268,2012-10
12/9/2011,West,Office Supplies,34.68,16.9932,2011-12
11/11/2013,West,Office Supplies,155.82,42.0714,2013-11
11/11/2013,West,Office Supplies,70.008,24.5028,2013-11
10/4/2013,Central,Office Supplies,15.648,5.0856,2013-10
9/9/2011,Central,Office Supplies,103.6,51.8,2011-09
4/11/2013,East,Office Supplies,8.904,-6.5296,2013-04
11/12/2014,Central,Office Supplies,10.44,3.393,2014-11
11/12/2014,Central,Office Supplies,18.336,-32.088,2014-11
4/9/2013,West,Office Supplies,20.04,9.6192,2013-04
4/9/2013,West,Office Supplies,64.96,2.5984,2013-04
4/9/2013,West,Office Supplies,12.96,6.2208,2013-04
9/3/2014,Central,Technology,1199.8,323.946,2014-09
9/3/2014,Central,Technology,1928.78,829.3754,2014-09
9/3/2014,Central,Office Supplies,352.38,81.0474,2014-09
3/6/2013,Central,Office Supplies,149.352,50.4063,2013-03
3/6/2013,Central,Office Supplies,12.992,-0.812,2013-03
12/5/2011,South,Office Supplies,24.56,6.8768,2011-12
4/11/2012,East,Technology,85.14,34.9074,2012-04
4/11/2012,East,Technology,21.99,10.5552,2012-04
4/11/2012,East,Office Supplies,406.6,113.848,2012-04
10/5/2012,South,Office Supplies,46.2,12.936,2012-10
10/5/2012,South,Office Supplies,28.84,9.5172,2012-10
9/3/2014,East,Office Supplies,12.192,4.1148,2014-09
11/6/2014,West,Technology,159.99,54.3966,2014-11
4/4/2014,East,Furniture,25.472,7.6416,2014-04
12/1/2014,South,Office Supplies,173.8,43.45,2014-12
9/2/2013,West,Office Supplies,21.88,10.94,2013-09
4/10/2014,East,Office Supplies,9.82,4.8118,2014-04
4/10/2014,East,Office Supplies,35.97,9.7119,2014-04
4/10/2014,East,Office Supplies,12.96,6.2208,2014-04
4/10/2014,East,Office Supplies,191.6,91.968,2014-04
4/10/2014,East,Office Supplies,8.64,4.2336,2014-04
4/10/2014,East,Office Supplies,501.81,0,2014-04
10/6/2014,East,Technology,160.93,3.2186,2014-10
10/6/2014,East,Office Supplies,75.792,25.5798,2014-10
7/10/2014,West,Office Supplies,1.08,-0.792,2014-07
1/8/2014,Central,Technology,3059.982,679.996,2014-01
12/9/2012,Central,Office Supplies,34.02,16.6698,2012-12
10/4/2013,East,Furniture,599.292,93.2232,2013-10
11/11/2011,West,Office Supplies,3.392,0.8056,2011-11
11/11/2011,West,Technology,559.984,55.9984,2011-11
11/11/2011,West,Furniture,603.92,75.49,2011-11
3/10/2012,Central,Office Supplies,1.112,-1.8904,2012-03
9/10/2013,East,Office Supplies,14.624,5.484,2013-09
11/6/2012,West,Office Supplies,7.08,2.478,2012-11
11/6/2012,West,Office Supplies,4.401,-3.5208,2012-11
8/2/2014,Central,Technology,95.984,5.999,2014-08
7/6/2012,East,Furniture,13.96,6.7008,2012-07
7/6/2012,East,Furniture,155.82,63.8862,2012-07
7/6/2012,East,Technology,124.95,2.499,2012-07
7/6/2012,East,Office Supplies,601.65,156.429,2012-07
1/11/2013,East,Office Supplies,15.552,5.4432,2013-01
1/11/2013,East,Office Supplies,63.312,20.5764,2013-01
1/11/2013,East,Technology,15.588,-9.8724,2013-01
7/11/2011,East,Office Supplies,177.2,83.284,2011-07
7/11/2011,East,Technology,197.97,57.4113,2011-07
7/11/2011,East,Furniture,854.94,213.735,2011-07
7/11/2011,East,Furniture,124.11,52.1262,2011-07
7/11/2011,East,Office Supplies,14.4,7.056,2011-07
9/7/2013,East,Technology,31.86,11.151,2013-09
9/7/2013,East,Furniture,722.352,90.294,2013-09
7/10/2014,Central,Office Supplies,8.84,2.9835,2014-07
7/10/2014,Central,Office Supplies,58.464,-146.16,2014-07
3/9/2013,South,Technology,1363.96,85.2475,2013-03
3/9/2013,South,Furniture,102.36,-3.8385,2013-03
7/3/2012,East,Furniture,168.464,-29.4812,2012-07
7/3/2012,East,Office Supplies,6.72,2.436,2012-07
7/3/2012,East,Furniture,282.888,56.5776,2012-07
4/4/2012,East,Office Supplies,11.16,4.3524,2012-04
4/4/2012,East,Furniture,108.4,22.764,2012-04
4/4/2012,East,Office Supplies,82.344,27.7911,2012-04
4/4/2012,East,Office Supplies,9.088,3.2944,2012-04
12/11/2014,West,Office Supplies,19.936,7.2268,2014-12
12/11/2014,West,Office Supplies,65.568,22.9488,2014-12
10/2/2013,West,Furniture,194.848,12.178,2013-10
3/2/2013,East,Furniture,836.592,-264.9208,2013-03
3/2/2013,East,Office Supplies,26.38,12.1348,2013-03
3/2/2013,East,Office Supplies,362.92,105.2468,2013-03
3/2/2013,East,Technology,4899.93,2400.9657,2013-03
6/5/2014,South,Furniture,31.984,1.999,2014-06
6/5/2014,South,Technology,71.984,25.1944,2014-06
12/6/2012,West,Office Supplies,120.15,33.642,2012-12
12/6/2012,West,Technology,219.184,19.1786,2012-12
9/4/2012,South,Office Supplies,279.9,137.151,2012-09
9/4/2012,South,Technology,619.95,111.591,2012-09
9/4/2012,South,Office Supplies,4.36,2.0492,2012-09
9/4/2012,South,Office Supplies,15.28,7.4872,2012-09
3/2/2012,Central,Office Supplies,10.16,2.6416,2012-03
3/2/2012,Central,Office Supplies,101.88,50.94,2012-03
12/7/2013,West,Office Supplies,19.44,9.3312,2013-12
6/6/2013,East,Office Supplies,124.608,-23.364,2013-06
6/6/2013,East,Office Supplies,7.56,2.646,2013-06
12/12/2013,South,Office Supplies,85.224,7.4571,2013-12
4/4/2012,Central,Office Supplies,644.076,107.346,2012-04
4/4/2012,Central,Office Supplies,5.84,2.628,2012-04
4/4/2012,Central,Office Supplies,12.76,5.8696,2012-04
4/4/2012,Central,Technology,10.95,0.438,2012-04
4/4/2012,Central,Technology,599.98,209.993,2012-04
5/8/2012,East,Furniture,8.352,1.2528,2012-05
1/1/2014,West,Office Supplies,3.64,1.638,2014-01
1/1/2014,West,Office Supplies,159.768,53.9217,2014-01
7/3/2013,West,Furniture,195.184,19.5184,2013-07
9/1/2011,West,Office Supplies,53.94,15.6426,2011-09
3/3/2011,East,Technology,9.99,4.5954,2011-03
3/3/2011,East,Office Supplies,125.76,40.872,2011-03
3/3/2011,East,Office Supplies,25.32,9.1785,2011-03
5/4/2011,Central,Office Supplies,46.8,21.06,2011-05
11/2/2012,West,Technology,447.93,49.2723,2012-11
12/9/2014,East,Furniture,109.48,33.9388,2014-12
12/9/2014,East,Office Supplies,272.94,0,2014-12
12/9/2014,East,Office Supplies,19.44,9.3312,2014-12
12/9/2014,East,Office Supplies,31.92,8.2992,2014-12
3/10/2011,Central,Office Supplies,22.38,10.7424,2011-03
12/2/2013,East,Furniture,172.5,51.75,2013-12
12/2/2013,East,Technology,179.97,44.9925,2013-12
4/9/2013,Central,Technology,431.928,64.7892,2013-04
4/9/2013,Central,Furniture,95.984,-4.1136,2013-04
4/9/2013,Central,Office Supplies,1088.792,-1850.9464,2013-04
8/2/2014,South,Technology,271.96,16.9975,2014-08
9/10/2014,East,Furniture,141.372,-48.4704,2014-09
9/10/2014,East,Office Supplies,3.036,-2.3276,2014-09
9/10/2014,East,Office Supplies,4.503,-3.6024,2014-09
9/10/2014,East,Office Supplies,4.672,1.5768,2014-09
9/10/2014,East,Technology,95.88,28.764,2014-09
9/10/2014,East,Furniture,17.024,1.7024,2014-09
9/10/2014,East,Technology,258.696,64.674,2014-09
9/10/2014,East,Technology,1931.958,-386.3916,2014-09
7/12/2011,West,Office Supplies,249.75,44.955,2011-07
7/12/2011,West,Technology,255.936,28.7928,2011-07
